Cod Art;Desc Art;nuevo pvp
CA11001;ROLLO 50M CONDUCTO SEMIFLEXIBLE CIRCULAR 75MM  ANTIBACTERIANO ARIA CONNECT; 167 € 
CA11002;CAJA DE DISTRIBUCIÓN (10 BOCAS X 75MM)  SISTEMA ARIA CONNECT; 183 € 
CA11003;PLENUM  (3 BOCAS X 75MM) SISTEMA ARIA CONNECT; 55 € 
CA11004;CONECTOR SUPERIOR 125/160/200 SISTEMA ARIA CONNECT; 36 € 
CA11005;CONECTOR LATERAL 125/160 SISTEMA ARIA CONNECT; 34 € 
CA11006;ACOPLAMIENTO HORIZONTAL SISTEMA ARIA CONNECT; 27 € 
CA11007;ACOPLAMIENTO VERTICAL SISTEMA ARIA CONNECT; 27 € 
CA11008;REGULADOR DE CAUDAL125MM SISTEMA ARIA CONNECT; 22 € 
CA11009;TAPÓN TERMINAL PARA MONTAJE EN PARED SISTEMA ARIA CONNECT; 31 € 
CA11010;CUERPO CAJA DE DISTRIBUCIÓN 75MM  SISTEMA ARIA CONNECT; 144 € 
CA11011;CUERPO PLENUM ARIA CONNECT; 48 € 
CA11012;MODULO 3 BOCAS X 75MM SISTEMA ARIA CONNECT; 35 € 
CA11013;TAPÓN 75MM CON JUNTA INCLUIDA SISTEMA ARIA CONNECT; 3 € 
CA11014;TAPON SUPERIOR SISTEMA ARIA CONNECT; 23 € 
CA11015;RACOR 75MM CON DOS JUNTAS INCLUIDAS  SISTEMA ARIA CONNECT; 6 € 
CA11016;JUNTA DE ESTANQUEIDAD 75MM SISTEMA ARIA CONNECT; 2 € 
CA11020;CONDUCTO AISLANTE 125MM 1 METRO SISTEMA ARIA DURO; 29 € 
CA11021;CONDUCTO AISLANTE 160MM 1 METRO SISTEMA ARIA DURO; 34 € 
CA11022;CONDUCTO AISLANTE 200MM 1 METRO SISTEMA ARIA DURO; 40 € 
CA11023;CODO 45º 125 MM SISTEMA ARIA DURO; 17 € 
CA11024;CODO 45º 160 MM SISTEMA ARIA DURO; 21 € 
CA11025;CODO 45º 200 MM SISTEMA ARIA DURO; 28 € 
CA11026;TE 90º 125 MM SISTEMA ARIA DURO; 54 € 
CA11027;TE 90º 160 MM SISTEMA ARIA DURO; 63 € 
CA11028;TE 90º 200 MM SISTEMA ARIA DURO; 67 € 
CA11029;REGULADOR DE CAUDAL 125MM SISTEMA ARIA DURO; 77 € 
CA11030;REGULADOR DE CAUDAL 160MM SISTEMA ARIA DURO; 80 € 
CA11031;REGULADOR DE CAUDAL 200MM SISTEMA ARIA DURO; 80 € 
CA11032;CONECTOR 125MM SISTEMA ARIA DURO; 15 € 
CA11033;CONECTOR 160MM SISTEMA ARIA DURO; 17 € 
CA11034;CONECTOR 200MM SISTEMA ARIA DURO; 19 € 
CA11035;REDUCCIÓN 125/160/200 SISTEMA ARIA DURO; 16 € 
CA11036;ABRAZADERA 125/160/200 SISTEMA ARIA DURO; 13 € 
CA11037;ADAPTADOR 150/160 SISTEMA ARIA DURO; 34 € 
CA11038;ADAPTADOR 180/200 SISTEMA ARIA DURO; 37 € 
CA11039;SILENCIADOR 125MM SISTEMA ARIA DURO; 80 € 
CA11040;SILENCIADOR 160MM SISTEMA ARIA DURO; 95 € 
CA11041;SILENCIADOR 200MM SISTEMA ARIA DURO; 109 € 
RP04007;BOCA IMPULSION SR-IM 125  CON CUELLO MONTAJE; 12,70 € 
RP04002;BOCA EXTRACCION SR-125 CON CUELLO MONTAJE; 13,35 € 
VE80001;RECUPERADOR VMC MUNDOCLIMA ELEGANCE-150; 1.711 € 
VE80002;RECUPERADOR VMC MUNDOCLIMA ELEGANCE-300; 2.008 € 
CA11651;BOCA AUTORREGULABLE BAMJ 15 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 25,20 € 
CA11652;BOCA AUTORREGULABLE BAMJ 30 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 25,20 € 
CA11653;BOCA AUTORREGULABLE BAMJ 45 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 25,20 € 
CA11654;BOCA AUTORREGULABLE BAMJ 60 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 25,20 € 
CA11655;BOCA AUTORREGULABLE BAMJ 75 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 25,20 € 
CA11656;BOCA AUTORREGULABLE BAMJ 90 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 25,20 € 
CA11657;BOCA AUTORREGULABLE BAMJ 120 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 28,35 € 
RP03410;MVF - 125 / 15 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03411;MVF - 125 / 30 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03412;MVF - 125 / 45 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03413;MVF - 125 / 60 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03414;MVF - 125 / 75 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03415;MVF - 125 / 90 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03416;MVF - 125 / 120 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03417;MVF - 125 / 150 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
CA11712;BOCA EXTRACCION/IMPULSION SLIMV4LVE 125 MANGUITO ANCLAJE; 27,41 € 
RP08002;RONDO - 125 DIFUSOR DE YESO SIN MARCO; 80,00 € 
RP08005;KVADRO - 125 DIFUSOR DE YESO SIN MARCO; 90,00 € 
CA11060;ROLLO 50M CONDUCTO SEMIFLEXIBLE CIRCULAR 90MM  ANTIBACTERIANO ARIA CONNECT; 248,00 € 
CA11070;CAJA DE DISTRIBUCIÓN (8 BOCAS X 90MM) SISTEMA ARIA CONNECT; 200,00 € 
CA11071;PLENUM  (2 BOCAS X 90MM) SISTEMA ARIA CONNECT; 57,00 € 
CA11052;CLIP GRIS PARA SUJECIÓN TUBOS DE 75MM ARIA CONNECT; 2,00 € 
CA11053;CLIP ROJO PARA SUJECIÓN TUBOS DE 75MM ARIA CONNECT; 2,00 € 
CA11072;CLIP GRIS PARA SUJECIÓN TUBOS DE 90MM ARIA CONNECT; 2,00 € 
CA11073;CLIP ROJO PARA SUJECIÓN TUBOS DE 90MM ARIA CONNECT; 2,00 € 